Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::TestTracker::fixWorld(CxxTest::WorldDescription const*) const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::RealSuiteDescription::next() const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::RealSuiteDescription::numTests() const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::RealWorldDescription::firstSuite() const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::RealWorldDescription::numTotalTests() const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::List::head() const
  0.00      0.24     0.00        2     0.00     0.00  CxxTest::List::size() const
  0.00      0.24     0.00        1     0.00     0.00  __static_initialization_and_destruction_0()
  0.00      0.24     0.00        1     0.00     0.00  PetscSetup::setUpWorld()
  0.00      0.24     0.00        1     0.00     0.00  PetscSetup::tearDownWorld()
  0.00      0.24     0.00        1     0.00   240.00  TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated()
  0.00      0.24     0.00        1     0.00     0.00  CornerStimulusCellFactory::CornerStimulusCellFactory()
  0.00      0.24     0.00        1     0.00     0.00  CornerStimulusCellFactory::~CornerStimulusCellFactory()
  0.00      0.24     0.00        1     0.00     0.00  boost::shared_ptr<SimpleStimulus>::shared_ptr<SimpleStimulus>(SimpleStimulus*)
  0.00      0.24     0.00        1     0.00     0.00  boost::shared_ptr<AbstractIvpOdeSolver>::shared_ptr<EulerIvpOdeSolver>(EulerIvpOdeSolver*)
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::shared_count::shared_count<EulerIvpOdeSolver>(EulerIvpOdeSolver*)
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::shared_count::shared_count<SimpleStimulus>(SimpleStimulus*)
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<SimpleStimulus>::dispose()
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<SimpleStimulus>::~sp_counted_impl_p()
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<EulerIvpOdeSolver>::dispose()
  0.00      0.24     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<EulerIvpOdeSolver>::~sp_counted_impl_p()
  0.00      0.24     0.00        1     0.00     0.00  void boost::detail::sp_pointer_construct<SimpleStimulus, SimpleStimulus>(boost::shared_ptr<SimpleStimulus>*, SimpleStimulus*, boost::detail::shared_count&)
  0.00      0.24     0.00        1     0.00     0.00  void boost::detail::sp_pointer_construct<AbstractIvpOdeSolver, EulerIvpOdeSolver>(boost::shared_ptr<AbstractIvpOdeSolver>*, EulerIvpOdeSolver*, boost::detail::shared_count&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestRunner::WorldGuard::WorldGuard()
  0.00      0.24     0.00        1     0.00   240.00  CxxTest::TestRunner::runAllTests(CxxTest::TestListener&)
  0.00      0.24     0.00        1     0.00   240.00  CxxTest::TestRunner::runTest(CxxTest::TestDescription&)
  0.00      0.24     0.00        1     0.00   240.00  CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&)
  0.00      0.24     0.00        1     0.00   240.00  CxxTest::TestRunner::runWorld()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::enterSuite(CxxTest::SuiteDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::enterWorld(CxxTest::WorldDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::initialize()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveSuite(CxxTest::SuiteDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveWorld(CxxTest::WorldDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::enterTest(CxxTest::TestDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveTest(CxxTest::TestDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestTracker::TestTracker()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::digitToChar(unsigned int)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::Adapter::~Adapter()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::ErrorPrinter(std::ostream&, char const*, char const*)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::~ErrorPrinter()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestListener::leaveSuite(CxxTest::SuiteDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::GlobalFixture::setUp()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::GlobalFixture::tearDown()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::GlobalFixture::GlobalFixture()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::GlobalFixture::~GlobalFixture()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterSuite(CxxTest::SuiteDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterWorld(CxxTest::WorldDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::leaveWorld(CxxTest::WorldDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::totalTests(CxxTest::OutputStream&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterTest(CxxTest::TestDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::leaveTest(CxxTest::TestDescription const&)
  0.00      0.24     0.00        1     0.00     0.00  char* CxxTest::numberToString<unsigned int>(unsigned int, char*, unsigned int, unsigned int, unsigned int)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::initialize(CxxTest::List&, CxxTest::SuiteDescription&, unsigned int, char const*)
  0.00      0.24     0.00        1     0.00   240.00  CxxTest::RealTestDescription::run()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::next()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::setUp()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::tearDown()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::RealTestDescription(CxxTest::List&, CxxTest::SuiteDescription&, unsigned int, char const*)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::DummyTestDescription::DummyTestDescription()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::initialize(char const*, unsigned int, char const*, CxxTest::List&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::next()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::firstTest()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::RealSuiteDescription(char const*, unsigned int, char const*, CxxTest::List&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::firstSuite()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::setUp()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealWorldDescription::tearDown()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::DummySuiteDescription::DummySuiteDescription()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::DummySuiteDescription::~DummySuiteDescription()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::DummyWorldDescription::DummyWorldDescription()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::DummyWorldDescription::~DummyWorldDescription()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::doInitialize(CxxTest::TestSuite&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::setUp()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::tearDown()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::StaticSuiteDescription::StaticSuiteDescription(char const*, unsigned int, char const*, CxxTest::TestSuite&, CxxTest::List&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::Link::detach(CxxTest::List&)
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestSuite::setUp()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestSuite::tearDown()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::TestSuite::~TestSuite()
  0.00      0.24     0.00        1     0.00   240.00  TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated::runTest()
  0.00      0.24     0.00        1     0.00     0.00  TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated::TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated()
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::WorldDescription::strTotalTests(char*) const
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealTestDescription::testName() const
  0.00      0.24     0.00        1     0.00     0.00  CxxTest::RealSuiteDescription::suiteName() const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2026 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 4.17% of 0.24 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.24                 main [1]
                0.00    0.24       1/1           CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
                0.00    0.00       1/12          CxxTest::TestTracker::tracker() [29]
                0.00    0.00       1/1           CxxTest::ErrorPrinter::ErrorPrinter(std::ostream&, char const*, char const*) [101]
                0.00    0.00       1/1           CxxTest::ErrorPrinter::~ErrorPrinter() [102]
-----------------------------------------------
                0.10    0.14       3/3           TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated() [3]
[2]    100.0    0.10    0.14       3         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [2]
                0.14    0.00 26620320/26620320     void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag) [10]
-----------------------------------------------
                0.00    0.24       1/1           TestDescription_TestMonodomainSlabLong_TestMonodomainSlabLongWithCornerNodesStimulated::runTest() [9]
[3]    100.0    0.00    0.24       1         TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated() [3]
                0.10    0.14       3/3           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [2]
                0.00    0.00       1/30          xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >::~string() [27]
                0.00    0.00       1/1           CornerStimulusCellFactory::CornerStimulusCellFactory() [78]
                0.00    0.00       1/1           CornerStimulusCellFactory::~CornerStimulusCellFactory() [79]
-----------------------------------------------
                0.00    0.24       1/1           main [1]
[4]    100.0    0.00    0.24       1         CxxTest::TestRunner::runAllTests(CxxTest::TestListener&) [4]
                0.00    0.24       1/1           CxxTest::TestRunner::runWorld() [7]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [29]
                0.00    0.00       2/3           CxxTest::TestTracker::setListener(CxxTest::TestListener*) [54]
-----------------------------------------------
                0.00    0.24       1/1           CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
[5]    100.0    0.00    0.24       1         CxxTest::TestRunner::runTest(CxxTest::TestDescription&) [5]
                0.00    0.24       1/1           CxxTest::RealTestDescription::run() [8]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [29]
                0.00    0.00       1/3           CxxTest::maxDumpSize() [55]
                0.00    0.00       1/1           CxxTest::RealTestDescription::setUp() [117]
                0.00    0.00       1/1           CxxTest::TestTracker::enterTest(CxxTest::TestDescription const&) [96]
                0.00    0.00       1/1           CxxTest::RealTestDescription::tearDown() [118]
                0.00    0.00       1/4           CxxTest::setMaxDumpSize(unsigned int) [48]
                0.00    0.00       1/1           CxxTest::TestTracker::leaveTest(CxxTest::TestDescription const&) [97]
-----------------------------------------------
                0.00    0.24       1/1           CxxTest::TestRunner::runWorld() [7]
[6]    100.0    0.00    0.24       1         CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&) [6]
                0.00    0.24       1/1           CxxTest::TestRunner::runTest(CxxTest::TestDescription&) [5]
                0.00    0.00       2/12          CxxTest::TestTracker::tracker() [29]
                0.00    0.00       1/3           CxxTest::maxDumpSize() [55]
                0.00    0.00       1/1           CxxTest::TestTracker::enterSuite(CxxTest::SuiteDescription const&) [91]
                0.00    0.00       1/1           CxxTest::StaticSuiteDescription::setUp() [133]
