Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 45.22      1.23     1.23 267130812     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
 32.72      2.12     0.89       18     0.05     0.12  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
 17.65      2.60     0.48                             _init
  2.57      2.67     0.07       24     0.00     0.00  boost::numeric::ublas::c_vector<double, 3ul>::operator()(unsigned long)
  0.74      2.69     0.02        2     0.01     0.01  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.37      2.70     0.01    83424     0.00     0.00  boost::detail::sp_counted_base::release()
  0.37      2.71     0.01    83408     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.37      2.72     0.01       18     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      2.72     0.00    41710     0.00     0.00  double* std::__copy_move_a2<false, double const*, double const*, double*>(double const*, double const*, double*)
  0.00      2.72     0.00    41710     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      2.72     0.00       70     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__str_concat<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::allocator_type const&)
  0.00      2.72     0.00       26     0.00     0.00  boost::detail::sp_counted_base::weak_release()
  0.00      2.72     0.00       26     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      2.72     0.00       14     0.00     0.00  CxxTest::ErrorPrinter::Adapter::operator<<(char const*)
  0.00      2.72     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.72     0.00       12     0.00     0.00  CxxTest::TestTracker::tracker()
  0.00      2.72     0.00       12     0.00     0.00  CxxTest::Link::active() const
  0.00      2.72     0.00        9     0.00     0.00  CxxTest::TestTracker::dummyWorld() const
  0.00      2.72     0.00        9     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      2.72     0.00        8     0.00     0.00  void boost::shared_ptr<SimpleStimulus>::reset<SimpleStimulus>(SimpleStimulus*)
  0.00      2.72     0.00        8     0.00     0.00  boost::shared_ptr<SimpleStimulus>::shared_ptr<SimpleStimulus>(SimpleStimulus*)
  0.00      2.72     0.00        8     0.00     0.00  void boost::checked_delete<BoundaryConditionsContainer<3u, 3u, 2u> >(BoundaryConditionsContainer<3u, 3u, 2u>*)
  0.00      2.72     0.00        8     0.00     0.00  boost::detail::shared_count::shared_count<SimpleStimulus>(SimpleStimulus*)
  0.00      2.72     0.00        8     0.00     0.00  boost::detail::shared_count::shared_count<BoundaryConditionsContainer<3u, 3u, 2u> >(BoundaryConditionsContainer<3u, 3u, 2u>*)
  0.00      2.72     0.00        8     0.00     0.00  boost::detail::sp_counted_impl_p<SimpleStimulus>::dispose()
  0.00      2.72     0.00        8     0.00     0.00  boost::detail::sp_counted_impl_p<SimpleStimulus>::~sp_counted_impl_p()
