Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.97      0.30     0.30                             _init
 32.91      0.56     0.26 91045554     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
 13.92      0.67     0.11        6    18.33    61.67  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
 10.13      0.75     0.08        3    26.67    26.67  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  2.53      0.77     0.02   245048     0.00     0.00  GenericEventHandler<16u, HeartEventHandler>::EndEventImpl(unsigned int)
  1.27      0.78     0.01     5202     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  1.27      0.79     0.01                             GenericEventHandler<16u, HeartEventHandler>::EndEvent(unsigned int)
  0.00      0.79     0.00   245052     0.00     0.00  GenericEventHandler<16u, HeartEventHandler>::Instance()
  0.00      0.79     0.00     5204     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      0.79     0.00     2601     0.00     0.00  boost::numeric::ublas::c_vector<double, 2ul>::operator()(unsigned long) const
  0.00      0.79     0.00       87     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      0.79     0.00       63     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__str_concat<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::allocator_type const&)
  0.00      0.79     0.00       39     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::back()
  0.00      0.79     0.00       27     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_check_len(unsigned long, char const*) const
  0.00      0.79     0.00       27     0.00     0.00  std::__new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.00      0.79     0.00       27     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Guard_alloc::~_Guard_alloc()
