Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 46.81      0.88     0.88 267130812     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
 35.11      1.54     0.66       18     0.04     0.09  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
 12.23      1.77     0.23                             _init
  5.32      1.87     0.10       24     0.00     0.00  boost::numeric::ublas::c_vector<double, 3ul>::operator()(unsigned long)
  0.53      1.88     0.01    41710     0.00     0.00  double* std::__copy_move_a2<false, double const*, double const*, double*>(double const*, double const*, double*)
  0.00      1.88     0.00    83424     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      1.88     0.00    83408     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      1.88     0.00    41710     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.88     0.00       70     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__str_concat<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::allocator_type const&)
  0.00      1.88     0.00       26     0.00     0.00  boost::detail::sp_counted_base::weak_release()
  0.00      1.88     0.00       26     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      1.88     0.00       18     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      1.88     0.00       14     0.00     0.00  CxxTest::ErrorPrinter::Adapter::operator<<(char const*)
  0.00      1.88     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.88     0.00       12     0.00     0.00  CxxTest::TestTracker::tracker()
  0.00      1.88     0.00       12     0.00     0.00  CxxTest::Link::active() const
  0.00      1.88     0.00        9     0.00     0.00  CxxTest::TestTracker::dummyWorld() const
