Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.79     0.00        6     0.00     0.00  CxxTest::TestTracker::setTest(CxxTest::TestDescription const*)
  0.00      1.79     0.00        6     0.00     0.00  CxxTest::ErrorPrinter::Adapter::flush()
  0.00      1.79     0.00        6     0.00     0.00  CxxTest::List::head()
  0.00      1.79     0.00        6     0.00     0.00  CxxTest::TestTracker::fixTest(CxxTest::TestDescription const*) const
  0.00      1.79     0.00        5     0.00     0.00  CxxTest::ErrorPrinter::Adapter::operator<<(void (*)(CxxTest::OutputStream&))
  0.00      1.79     0.00        5     0.00     0.00  CxxTest::TestTracker::dummyTest() const
  0.00      1.79     0.00        5     0.00     0.00  CxxTest::DummySuiteDescription::testDescription(unsigned int) const
  0.00      1.79     0.00        4     0.00     0.04  void SetConductivities<3u>(BidomainProblem<3u>&)
  0.00      1.79     0.00        4     0.00     0.00  BidomainProblem<3u>::~BidomainProblem()
  0.00      1.79     0.00        4     0.00     0.00  SpaceConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::GiveUpConvergence()
  0.00      1.79     0.00        4     0.00     0.00  PlaneStimulusCellFactory<CellLuoRudy1991FromCellMLBackwardEulerOpt, 3u, 3u>::PlaneStimulusCellFactory(double, double)
  0.00      1.79     0.00        4     0.00     0.00  PlaneStimulusCellFactory<CellLuoRudy1991FromCellMLBackwardEulerOpt, 3u, 3u>::~PlaneStimulusCellFactory()
  0.00      1.79     0.00        4     0.00     0.00  AbstractConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::DisplayRun()
  0.00      1.79     0.00        4     0.00     0.00  GeneralPlaneStimulusCellFactory<CellLuoRudy1991FromCellMLBackwardEulerOpt, 3u, 3u>::GeneralPlaneStimulusCellFactory(unsigned int, double, double, double)
  0.00      1.79     0.00        4     0.00     0.00  GeneralPlaneStimulusCellFactory<CellLuoRudy1991FromCellMLBackwardEulerOpt, 3u, 3u>::~GeneralPlaneStimulusCellFactory()
  0.00      1.79     0.00        4     0.00     0.00  boost::shared_ptr<AbstractIvpOdeSolver>::shared_ptr<EulerIvpOdeSolver>(EulerIvpOdeSolver*)
  0.00      1.79     0.00        4     0.00     0.00  boost::shared_ptr<BoundaryConditionsContainer<3u, 3u, 2u> >::shared_ptr<BoundaryConditionsContainer<3u, 3u, 2u> >(BoundaryConditionsContainer<3u, 3u, 2u>*)
  0.00      1.79     0.00        4     0.00     0.00  boost::detail::shared_count::shared_count<EulerIvpOdeSolver>(EulerIvpOdeSolver*)
  0.00      1.79     0.00        4     0.00     0.00  boost::detail::sp_counted_impl_p<EulerIvpOdeSolver>::dispose()
  0.00      1.79     0.00        4     0.00     0.00  boost::detail::sp_counted_impl_p<EulerIvpOdeSolver>::~sp_counted_impl_p()
  0.00      1.79     0.00        4     0.00     0.00  void boost::detail::sp_pointer_construct<AbstractIvpOdeSolver, EulerIvpOdeSolver>(boost::shared_ptr<AbstractIvpOdeSolver>*, EulerIvpOdeSolver*, boost::detail::shared_count&)
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::TestTracker::setSuite(CxxTest::SuiteDescription const*)
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::OutputStream::endl(CxxTest::OutputStream&)
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::ErrorFormatter::endl(CxxTest::OutputStream&)
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::setMaxDumpSize(unsigned int)
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::Link::next()
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::TestTracker::fixSuite(CxxTest::SuiteDescription const*) const
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::RealTestDescription::suite() const
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::StaticSuiteDescription::suite() const
  0.00      1.79     0.00        4     0.00     0.00  CxxTest::Link::next() const
  0.00      1.79     0.00        3     0.00     0.00  SpaceConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::UpdateConvergenceParameters()
  0.00      1.79     0.00        3     0.00     0.00  SpaceConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::Abscissa()
  0.00      1.79     0.00        3     0.00     0.00  CxxTest::TestTracker::setListener(CxxTest::TestListener*)
  0.00      1.79     0.00        3     0.00     0.00  CxxTest::maxDumpSize()
  0.00      1.79     0.00        3     0.00     0.00  CxxTest::RealWorldDescription::suites()
  0.00      1.79     0.00        3     0.00     0.00  CxxTest::Link::attach(CxxTest::List&)
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::TestTracker::setWorld(CxxTest::WorldDescription const*)
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::GlobalFixture::lastGlobalFixture()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::GlobalFixture::nextGlobalFixture()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::GlobalFixture::prevGlobalFixture()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::GlobalFixture::firstGlobalFixture()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::TestDescription::~TestDescription()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::SuiteDescription::~SuiteDescription()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::WorldDescription::~WorldDescription()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::Link::prev()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::List::tail()
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::TestTracker::fixWorld(CxxTest::WorldDescription const*) const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::RealSuiteDescription::next() const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::RealSuiteDescription::numTests() const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::RealWorldDescription::firstSuite() const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::RealWorldDescription::numTotalTests() const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::List::head() const
  0.00      1.79     0.00        2     0.00     0.00  CxxTest::List::size() const
  0.00      1.79     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::_Guard_alloc::~_Guard_alloc()
  0.00      1.79     0.00        2     0.00     0.01  double* std::vector<double, std::allocator<double> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(unsigned long, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.79     0.00        2     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      1.79     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      1.79     0.00        1     0.00     0.00  __static_initialization_and_destruction_0()
  0.00      1.79     0.00        1     0.00     0.00  PetscSetup::setUpWorld()
  0.00      1.79     0.00        1     0.00     0.00  PetscSetup::tearDownWorld()
  0.00      1.79     0.00        1     0.00     0.00  SpaceConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::SetInitialConvergenceParameters()
  0.00      1.79     0.00        1     0.00     0.00  AbstractConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::PopulateStandardResult(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  0.00      1.79     0.00        1     0.00     1.51  AbstractConvergenceTester<CellLuoRudy1991FromCellMLBackwardEulerOpt, BidomainProblem<3u>, 3u, 2u>::Converge(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.79     0.00        1     0.00     1.59  TestConvergenceEfficiency::Test3DSpace10Efficiency()
  0.00      1.79     0.00        1     0.00     1.59  TestDescription_TestConvergenceEfficiency_Test3DSpace10Efficiency::runTest()
  0.00      1.79     0.00        1     0.00     0.00  TestDescription_TestConvergenceEfficiency_Test3DSpace10Efficiency::TestDescription_TestConvergenceEfficiency_Test3DSpace10Efficiency()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestRunner::WorldGuard::WorldGuard()
  0.00      1.79     0.00        1     0.00     1.59  CxxTest::TestRunner::runAllTests(CxxTest::TestListener&)
  0.00      1.79     0.00        1     0.00     1.59  CxxTest::TestRunner::runTest(CxxTest::TestDescription&)
  0.00      1.79     0.00        1     0.00     1.59  CxxTest::TestRunner::runSuite(CxxTest::SuiteDescription&)
  0.00      1.79     0.00        1     0.00     1.59  CxxTest::TestRunner::runWorld()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::enterSuite(CxxTest::SuiteDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::enterWorld(CxxTest::WorldDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::initialize()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveSuite(CxxTest::SuiteDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveWorld(CxxTest::WorldDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::enterTest(CxxTest::TestDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::leaveTest(CxxTest::TestDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestTracker::TestTracker()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::digitToChar(unsigned int)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::Adapter::~Adapter()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::ErrorPrinter(std::ostream&, char const*, char const*)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorPrinter::~ErrorPrinter()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::TestListener::leaveSuite(CxxTest::SuiteDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::GlobalFixture::setUp()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::GlobalFixture::tearDown()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::GlobalFixture::GlobalFixture()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::GlobalFixture::~GlobalFixture()
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterSuite(CxxTest::SuiteDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterWorld(CxxTest::WorldDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::leaveWorld(CxxTest::WorldDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::totalTests(CxxTest::OutputStream&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::enterTest(CxxTest::TestDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  CxxTest::ErrorFormatter::leaveTest(CxxTest::TestDescription const&)
  0.00      1.79     0.00        1     0.00     0.00  void CxxTest::doAssertEquals<unsigned int, unsigned int>(char const*, unsigned int, char const*, unsigned int, char const*, unsigned int, char const*)
